kms_driven,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
97722,18.5,1197.0,1197.0,805200.0,2.27
9000,12.1,1998.0,1998.0,26530.0,70.0
19000,8.9,2999.0,2999.0,435.0,78.99
79683,18.0,1497.0,1497.0,1173.0,6.35
26000,22.61,1197.0,1197.0,8850.0,7.95
70000,20.68,1995.0,1995.0,188.0,15.5
85540,16.5,1353.0,1353.0,13808.0,13.86
10000,1197.0,12873.0,12873.0,230.0,11.7
50170,21.01,1197.0,1197.0,8180.0,6.87
44000,13.38,2993.0,2993.0,26150.0,98.5
4000,12.6,1950.0,1950.0,194.0,56.75
37163,998.0,671.0,671.0,90.0,3.18
21003,1451.0,141.0,141.0,250.0,18.75
49000,16.55,1995.0,1995.0,1877.0,39.0
89057,16.98,998.0,998.0,661.0,2.26
12000,11.9,1950.0,1950.0,20115.0,44.5
11000,18.76,1462.0,1462.0,10326.0,9.99
72692,17.8,1497.0,1497.0,1173.0,6.85
47463,15.63,1499.0,1499.0,1104.0,6.33
7651,12.74,1991.0,1991.0,197.0,61.0
69348,17.8,1497.0,1497.0,1173.0,6.19
40000,14.47,2993.0,2993.0,30173.0,32.5
18000,15.8,1997.0,1997.0,247.0,80.0
51710,236.92727741935482,14724716375.998064,14724716375.998064,14239.891542930924,2.48
40000,11.88,1086.0,1086.0,621.0,2.1
84000,11.0,2987.0,2987.0,258.0,46.21
62411,998.0,671.0,671.0,90.0,2.9
22711,19.89,1462.0,1462.0,10165.0,11.35
90576,18.9,1197.0,1197.0,82.0,3.37
44000,17.0,2987.0,2987.0,2548.0,44.0
49000,1197.0,8180.0,8180.0,113.0,4.25
40678,18.27,998.0,998.0,11835.0,9.24
32000,998.0,6704.0,6704.0,90.0,2.2
27500,19.01,1462.0,1462.0,10326.0,10.5
92539,18.6,1197.0,1197.0,8183.0,5.28
21000,15.3,1998.0,1998.0,25479.0,48.0
6000,21.4,1197.0,1197.0,831.0,6.95
72692,17.8,1497.0,1497.0,1173.0,6.85
47463,15.63,1499.0,1499.0,1104.0,6.33
7651,12.74,1991.0,1991.0,197.0,61.0
69348,17.8,1497.0,1497.0,1173.0,6.19
40000,14.47,2993.0,2993.0,30173.0,32.5
18000,15.8,1997.0,1997.0,247.0,80.0
51710,236.92727741935482,14724716375.998064,14724716375.998064,14239.891542930924,2.48
40000,11.88,1086.0,1086.0,621.0,2.1
84000,11.0,2987.0,2987.0,258.0,46.21
62411,998.0,671.0,671.0,90.0,2.9
